,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
5408,67.7g,440kcal,13.5g,3.8g,6.2g,1.4g,10.0g,1.3g,Jacob's cream crackers original snack packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5409,87g,421kcal,4.8g,1.0g,1.2g,3.1g,7.0g,1.3g,Snack Organisation Presents Teriyaki Rice Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,37.1g,564kcal,38.8g,2.6g,21.1g,0.8g,15.4g,1.81g,No.1 Gouda & Black Pepper Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5411,64.2g,488kcal,21.7g,2.2g,15.6g,10.3g,7.9g,2.0g,Jacob's Savours Sweet Chilli Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5412,57.5g,483kcal,22.4g,4.1g,13.2g,2.0g,10.8g,2.05g,Waitrose Oat and Chive Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5413,58.4g,447kcal,17.9g,6.1g,8.1g,6.1g,10.2g,2.5g,Hovis crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5414,66g,443kcal,15g,"3,4g","8,8g","2,3g",10g,"2,2g",Bauli Doriano Crackers Sea Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5415,63.0g,477kcal,20.2g,3.7g,9.4g,6.1g,9.0g,1.4g,Jacob's Crackers Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5416,68.9g,427kcal,10.4g,4.3g,4.6g,1.6g,12.3g,1.4g,Jacobs Ciabatta Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5417,63.9g,429kcal,14.2g,5.5g,7.4g,6.3g,8.8g,1.8g,Jacob's choice grain crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5418,74.7g,417kcal,7.6g,4.2g,3.3g,1.6g,10.1g,1.5g,Carr's table water biscuits with cracked black pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5419,58.6g,500kcal,23.8g,4.9g,15.3g,12.3g,10.4g,1.80g,Waitrose Malted Wheat Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5420,57.3g,482kcal,22.0g,5.5g,14.3g,2.7g,11.0g,1.75g,Waitrose seeded wheat biscuits for cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,78.5g,1642kJ,1.6g,3g,0.23g,0.6g,13.2g,0.4g,Rude Health Chickpea & Lentil Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5422,68.6g,424kcal,10.1g,4.5g,4.5g,2.5g,12.3g,1.6g,Jacobs Ciabatta Sundried Tomato & Basil Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
